"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Gunner Olszewski","NE","8","WR","5","5","0","62","0","1","0","0","100","5.4","12.4","12.4","7","0","0","0","0","0","0","0","0","0","0","0","5","0","23","0","0","0","4.6","2","0","0","0","1","0","20","0","0","0","0","0","0","0","19.5","0.18","1.95"
"Malik Taylor","GB","13","WR","6","5","0","66","0","1","0","0","83.3","7.33","11","13.2","9.6","2","1","1","33.3","20","100","2","1","33.3","20","100","1","0","9","0","0","0","9","13","1","1","0","0","0","0","0","0","0","0","0","0","0","18.5","0.11","3.08"
"Brandon Aiyuk","SF","12","WR","93","60","1","748","2","5","0","5","64.5","9.91","8.04","12.47","4.77","26","15","5","28","25","100","7","3","7.5","5","60","6","0","77","0","2","0","12.83","7","5","0.83","0","1","1","16.7","50","0","0","0","0","0","0","184.5","0.25","2.8"
"Vyncint Smith","NYJ","4","WR","3","1","0","13","0","0","0","0","33.3","13","4.33","13","1","1","0","0","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3","0.05","2.3"
"Marquise Brown","BLT","16","WR","95","58","4","769","1","8","2","7","61.1","13.55","8.09","13.26","4.72","28","13","6","29.5","22.4","75","13","6","13.7","10.3","75","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","183","0.23","3.1"
"Donovan Peoples-Jones","CLV","12","WR","20","14","1","304","0","2","1","1","70","17.55","15.2","21.71","5.71","4","1","1","20","7.1","50","2","1","10","7.1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","56.4","0.21","4.03"
"Tee Higgins","CIN","16","WR","105","67","2","908","2","6","0","5","63.8","12.87","8.65","13.55","4.54","21","11","6","20","16.4","100","9","4","8.6","6","66.7","5","0","28","0","0","0","5.6","1.4","0","0","1","0","0","0","0","0","0","0","0","0","0","196.6","0.24","2.73"
"Jerry Jeudy","DEN","16","WR","110","52","4","856","2","3","2","12","47.3","14.6","7.78","16.46","5","20","7","2","18.2","13.5","66.7","7","0","6.4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","2","155.6","0.19","2.99"
"Derrick Willies","CLV","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dezmon Patmon","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"A.J. Brown","TEN","14","WR","101","70","5","1075","4","11","3","7","69.3","11.27","10.64","15.36","6.16","17","12","9","16.8","17.1","81.8","7","4","6.9","5.7","36.4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","243.5","0.32","3.48"
"Calvin Ridley","ATL","15","WR","137","90","3","1374","8","9","0","8","65.7","15.16","10.03","15.27","3.07","37","21","9","27","23.3","100","19","6","13.9","6.7","66.7","4","0","7","0","0","0","1.75","0.5","1","0.25","1","1","0","25","0","0","0","0","0","1","2","282.1","0.34","3"
"Darnell Mooney","CHI","16","WR","94","61","2","631","0","4","0","2","64.9","11.82","6.71","10.34","4.48","18","9","4","19.1","14.8","100","7","1","7.4","1.6","25","4","0","20","0","0","0","5","0.5","0","0","1","1","0","25","0","0","0","0","0","1","1","150.1","0.19","2.31"
"Robert Foster","WAS","4","WR","6","2","0","37","0","0","0","1","33.3","14.17","6.17","18.5","16","1","0","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7","0.21","2.85"
"Terry McLaurin","WAS","15","WR","128","87","3","1118","3","4","2","3","68","9.93","8.73","12.85","5.63","21","10","3","16.4","11.5","75","7","1","5.5","1.1","25","2","0","30","0","0","0","15","10.5","1","0.5","1","1","0","50","0","0","0","0","0","0","0","225.8","0.24","2.54"
"Miles Boykin","BLT","16","WR","32","19","1","266","0","4","1","0","59.4","12.66","8.31","14","4.53","10","4","4","31.3","21.1","100","7","2","21.9","10.5","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.6","0.13","3.66"
"Auden Tate","CIN","9","WR","21","14","0","150","0","0","0","1","66.7","9.57","7.14","10.71","3.93","5","1","0","23.8","7.1","0","4","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0.17","2.07"
"Daurice Fountain","IND","5","WR","2","2","0","23","0","0","0","0","100","11.5","11.5","11.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.3","0.07","2.15"
"Courtland Sutton","DEN","1","WR","6","3","1","66","0","0","0","1","50","17.5","11","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.6","0.31","3.2"
"Stanley Morgan Jr.","CIN","5","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Trenton Irwin","CIN","1","WR","2","1","0","5","0","0","0","0","50","5.5","2.5","5","1","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0.3","1.5"
"Jeff Smith","NYJ","10","WR","38","17","0","167","0","0","0","3","44.7","12.76","4.39","9.82","2.88","8","0","0","21.1","0","0","2","0","5.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.7","0.11","1.98"
"Tyler Johnson","TB","14","WR","16","12","0","169","0","2","0","1","75","11.75","10.56","14.08","6.08","6","3","2","37.5","25","100","4","2","25","16.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.9","0.15","3.41"
"James Proche","BLT","9","WR","3","1","0","14","0","0","0","0","33.3","5.33","4.67","14","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4","0.1","2.4"
