"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Cethan Carter","MIA","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Matt Sokol","NE","3","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Josh Oliver","BLT","17","TE","23","14","1","149","0","2","0","1","60.9","9.39","6.48","10.64","5.36","12","4","2","52.2","28.6","100","3","1","13","7.1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.9","0.08","2.92"
"Foster Moreau","LV","15","TE","49","33","0","420","0","2","0","2","67.3","8.12","8.57","12.73","7.3","7","4","2","14.3","12.1","100","4","2","8.2","6.1","100","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","87.5","0.12","2.65"
"Noah Fant","SEA","17","TE","63","50","1","486","0","4","0","0","79.4","6.87","7.71","9.72","4.52","13","9","4","20.6","18","100","5","3","7.9","6","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122.6","0.19","2.45"
"Luke Farrell","JAX","16","TE","4","4","0","40","0","0","0","0","100","0.5","10","10","9.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0.08","2"
"John Bates","WAS","16","TE","20","14","0","108","0","1","0","1","70","6.3","5.4","7.71","3.79","3","1","1","15","7.1","100","2","1","10","7.1","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","30.8","0.06","2.2"
"Charlie Woerner","SF","17","TE","2","0","0","0","0","0","0","1","0","21.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kenny Yeboah","NYJ","7","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Irv Smith Jr.","MIN","8","TE","34","25","0","182","0","2","0","1","73.5","5.12","5.35","7.28","3.92","9","7","2","26.5","28","100","1","1","2.9","4","50","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","55.2","0.19","2.21"
"Jack Stoll","PHI","17","TE","15","11","0","123","0","0","0","0","73.3","7.8","8.2","11.18","4.55","2","0","0","13.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.3","0.04","2.12"
"Trevon Wesco","CHI","14","TE","3","2","0","26","0","0","0","1","66.7","4.67","8.67","13","7","1","1","0","33.3","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4.6","0.03","2.3"
"Albert Okwuegbunam","DEN","8","TE","17","10","0","95","0","1","0","2","58.8","6.24","5.59","9.5","5.7","4","3","1","23.5","30","100","1","1","5.9","10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.5","0.13","2.55"
"Ko Kieft","TB","17","TE","10","7","0","80","0","1","0","2","70","5.7","8","11.43","4.57","2","2","1","20","28.6","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0.08","3"
"T.J. Hockenson","MIN","17","TE","123","86","2","914","2","6","0","6","69.9","7.85","7.43","10.63","4.95","30","17","6","24.4","19.8","100","9","3","7.3","3.5","50","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","2","213.4","0.22","2.48"
"Kylen Granson","IND","13","TE","39","31","0","302","0","0","0","2","79.5","6.15","7.74","9.74","4.32","3","1","0","7.7","3.2","0","1","0","2.6","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","61.2","0.15","1.91"
"Stephen Sullivan","CAR","14","TE","5","2","0","46","0","0","0","0","40","17.4","9.2","23","10.5","1","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.6","0.05","3.3"
"Devin Asiasi","CIN","12","TE","4","2","0","5","0","0","0","0","50","13.75","1.25","2.5","0","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0.01","1.25"
"Armani Rogers","WAS","11","TE","6","5","0","64","0","0","0","0","83.3","2","10.67","12.8","11.2","0","0","0","0","0","0","0","0","0","0","0","2","0","26","0","0","0","13","16","2","1","0","0","0","0","0","0","0","0","0","0","0","14","0.09","2"
"Zach Gentry","PIT","17","TE","23","19","0","132","0","0","0","1","82.6","3.04","5.74","6.95","5.32","3","1","0","13","5.3","0","1","0","4.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.2","0.06","1.69"
"Dawson Knox","BUF","15","TE","65","48","1","517","0","6","0","5","73.8","8.06","7.95","10.77","4.35","14","9","6","21.5","18.8","100","6","4","9.2","8.3","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","135.7","0.17","2.83"
"Kevin Rader","TEN","14","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Will Dissly","SEA","15","TE","38","34","0","349","0","3","0","2","89.5","5.29","9.18","10.26","5.47","6","5","2","15.8","14.7","66.7","1","1","2.6","2.9","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.9","0.15","2.56"
"Ben Ellefson","MIN","4","TE","3","3","0","26","0","0","0","0","100","5.33","8.67","8.67","3.33","1","1","0","33.3","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.6","0.13","1.87"
"Harrison Bryant","CLV","17","TE","42","31","0","239","0","1","0","4","73.8","6.05","5.69","7.71","3.61","9","4","1","21.4","12.9","100","3","0","7.1","0","0","1","0","8","0","0","0","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","61.7","0.11","1.93"
"Tyler Mabry","SEA","2","TE","1","1","0","7","0","1","0","0","100","5","7","7","2","1","1","1","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.7","1.54","7.7"
"Ross Dwelley","SF","10","TE","5","3","1","105","0","1","0","0","60","13.6","21","35","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.5","0.2","6.5"
"Johnny Mundt","MIN","17","TE","21","19","0","140","0","1","0","2","90.5","1.19","6.67","7.37","6.53","4","3","1","19","15.8","100","1","1","4.8","5.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0.09","2.05"
"Taysom Hill","NO","16","TE","12","9","0","76","0","2","0","2","75","6.67","6.33","8.44","4","4","3","2","33.3","33.3","100","1","0","8.3","0","0","96","2","575","1","7","1","5.99","3.77","11","0.11","1","18","6","18.8","85.7","3","2","3.1","28.6","0","0","128.1","0.4","1.22"
"Jacob Hollister","LV","3","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Eric Saubert","DEN","17","TE","23","15","0","148","0","1","0","2","65.2","7.91","6.43","9.87","5.07","6","3","1","26.1","20","100","2","1","8.7","6.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.8","0.09","2.39"
