player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rzRecTarg,rzRecRec,rzRecTds,rzRecTargPct,rzRecRecPct,rzRecTdPct,ezRecTarg,ezRecTds,ezRecTargPct,ezRecRecPct,ezRecTdPct,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,tat,fumbles,rzRushCarries,rzRushTds,rzRushPct,rzRushTdPct,i5RushCarries,i5RushTds,i5RushPct,i5RushTdPct,patConversions,patAttempts,fantasyPts,ptsPerSnap,ptsPerTouch
Jamal Agnew,JAX,15,WR,30,23,0,187,0,3,0,3,76.7,5.8,6.23,8.13,5.78,9,6,3,30,26.1,100,2,0,6.7,0,0,12,0,86,0,0,0,7.17,2.75,2,0.17,0,2,0,16.7,0,0,0,0,0,1,1,68.3,0.49,1.95
Tyquan Thornton,NE,13,WR,43,22,0,247,0,2,0,3,51.2,14.91,5.74,11.23,3,13,5,2,30.2,22.7,100,3,2,7,9.1,100,3,0,16,0,1,0,5.33,1,0,0,0,2,1,66.7,100,1,0,33.3,0,0,0,66.3,0.13,2.65
Dante Pettis,CHI,17,WR,36,19,2,245,0,3,2,3,52.8,10.19,6.81,12.89,3.26,8,4,2,22.2,21.1,66.7,5,2,13.9,10.5,66.7,2,0,37,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65.2,0.12,3.1
Equanimeous St. Brown,CHI,16,WR,38,21,1,323,0,1,0,1,55.3,12.79,8.5,15.38,4.67,7,4,1,18.4,19,100,2,1,5.3,4.8,100,6,1,54,0,0,0,9,4.5,2,0.33,1,0,0,0,0,0,0,0,0,0,0,64.7,0.12,2.4
Shi Smith,CAR,16,WR,38,22,0,296,0,2,0,2,57.9,8.79,7.79,13.45,4.32,9,5,2,23.7,22.7,100,2,1,5.3,4.5,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,63.6,0.13,2.89
Tutu Atwell,LA,13,WR,35,18,2,298,0,1,1,1,51.4,17.89,8.51,16.56,3.67,12,6,1,34.3,33.3,100,2,0,5.7,0,0,9,0,34,0,1,0,3.78,1.11,0,0,0,3,1,33.3,100,0,0,0,0,0,0,63.2,0.21,2.34
Trenton Irwin,CIN,9,WR,22,15,1,231,0,4,1,0,68.2,12.59,10.5,15.4,4.07,10,6,4,45.5,40,100,4,3,18.2,20,75,1,0,11,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,63.2,0.22,3.95
A.J. Green,ARZ,15,WR,46,24,1,236,0,2,1,2,52.2,11.65,5.13,9.83,2.42,11,2,1,23.9,8.3,50,6,1,13,4.2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,59.6,0.11,2.48
Kadarius Toney,KC,9,WR,19,16,0,171,0,2,0,2,84.2,3.63,9,10.69,6.88,6,6,2,31.6,37.5,100,0,0,0,0,0,7,0,82,0,1,0,11.71,5.86,5,0.71,0,2,1,28.6,100,0,0,0,0,0,0,59.3,0.41,2.58
Justin Watson,KC,17,WR,32,15,2,315,0,2,1,4,46.9,20.25,9.84,21,3.67,10,2,2,31.3,13.3,100,5,1,15.6,6.7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,0.12,3.9
